연번,시도,시군구,주소(도로명) ,운영기관,연락처
274,충남,아산시,"충청남도 아산시 아산로 9-1, 2층",아산시가족센터,041-540-2069
275,충남,아산시,충청남도 아산시 배방읍 월천5길 30,아산시가족센터,041-540-2069
276,충남,천안시,충청남도 천안시 동남구 신부12길 47 2층,천안시건강가정지원센터,041-620-9311
277,충남,천안시,충청남도 천안시 서북구 불당23로 13 불당이안아파트 커뮤니티센터,천안시건강가정지원센터,041-620-9311
278,충남,천안시,충청남도 천안시 서북구 한들1로 88 백석LH행복주택 관리사무동 1층&지하 1층,천안시건강가정지원센터,041-620-9311
279,충남,천안시,충청남도 천안시 서북구 불당24로 9,천안시건강가정지원센터,041-620-9311
280,충남,천안시,"충청남도 천안시 서북구 성성6로 21(104동 3,4라인 맞은편)",천안시건강가정지원센터,041-620-9311
281,충남,천안시,충청남도 천안시 서북구 성환읍 신선동길 25 충청남도천안교육지원청성환도서관 1층,천안시건강가정지원센터,041-620-9311
282,충남,태안군,"충청남도 태안군 태안읍 백화로 181, B동 2층(태안군가족센터)",태안군,041-670-0122
283,충남,홍성군,충청남도 홍성군 홍성읍 조양로 75번길 17 ,홍성군가족센터,041-634-7432
284,충남,홍성군,충청남도 홍성군 홍북읍 홍예로 213,홍성군가족센터,041-634-7432
285,충남,홍성군,충청남도 홍성군 홍성읍 월산로 30번길 38,홍성군가족센터,041-634-7432
286,충남,홍성군,충청남도 홍성군 광천읍 홍남로639번길 26,(사)공감사랑나눔회,041-642-9130
287,충남,홍성군,충청남도 홍성군 홍북읍 홍학로 48,홍성군가족센터,041-634-7432
288,충남,예산군,충청남도 예산군 예산읍 산성길 10 1층,예산군,041-331-1916
289,전북,군산시,전북특별자치도 군산시 하나운로 17 1층,군산시가족센터,063-466-7337
290,전북,군산시,전북특별자치도 군산시 내정로27,군산시가족센터,063-445-7330
291,전북,김제시,전북특별자치도 김제시 성산길 138 김제시보건소 3층,김제시가족센터,063-548-4363
292,전북,남원시,전북특별자치도 남원시 노송로 1229 타동 2층 경로당,남원시가족센터,063-930-1234
293,전북,남원시,전북특별자치도 남원시 용성로 207 102동 104호,남원시가족센터,063-630-1281
294,전북,남원시,전북특별자치도 남원시 가방뜰길 57 2층,남원시가족센터,063-630-1215
295,전북,남원시,전북특별자치도 남원시 동림로 129,남원시가족센터,063-630-1226
296,전북,남원시,전북특별자치도 남원시 운봉읍 운봉로 703,남원시가족센터,063-930-1291
297,전북,무주군,전북특별자치도 무주군 무주읍 신교로 2길 17,무주군가족센터,070-5150-7201
298,전북,부안군,전북특별자치도 부안군 부안읍 매창로 119 2층,부안군가족센터,063-584-1345
299,전북,완주군,전북특별자치도 완주군 용진읍 완주로 456-39 ,완주군가족센터,063-244-1033
300,전북,완주군,전북특별자치도 완주군 삼례읍 삼봉5로 60,완주군가족센터,063-262-2698
301,전북,익산시,전북특별자치도 익산시 평동로 11길 12 남부시장 2층,익산시가족센터,063-838-6055
302,전북,익산시,전북특별자치도 익산시 선화로 4길 66 관리동 2층,익산시가족센터,063-855-7055
303,전북,임실군,전북특별자치도 임실군 임실읍 봉황로 144 2층,임실군,063-640-4643
304,전북,장수군,전북특별자치도 장수군 장수읍 신천로 82 2층,장수군가족센터,063-351-8032
305,전북,장수군,전북특별자치도 장수군 장계면 방천길 15 1층,장수군가족센터,063-351-8034
306,전북,전주시,전북특별자치도 전주시 완산구 서신로 61 ,전주시가족센터,063-231-0185
307,전북,전주시,전북특별자치도 전주시 덕진구 세병로 184 1층,전주시가족센터,063-254-5500
308,전북,전주시,전북특별자치도 전주시 덕진구 오공로 71 관리동 1층,전주시가족센터,063-224-3003
309,전북,전주시,전북특별자치도 전주시 완산구 거마평로 7,전주시가족센터,063-225-0185
310,전북,전주시,전북특별자치도 전주시 덕진구 들사평서로 25,전주시가족센터,063-253-6500
311,전북,전주시,전북특별자치도 전주시 덕진구 물왕멀1길 11-36 1층,전주시가족센터,063-231-7500
312,전북,정읍시,전북특별자치도 정읍시 중앙2길 22,정읍시가족센터,063-531-0309
313,전북,고창군,전북특별자치도 고창군 고창읍 중앙로 330 2층,고창군가족센터,063-563-7077
314,전북,고창군,전북특별자치도 고창군 고창읍 모양성로26 3층,고창군가족센터,063-564-7077
315,전남,목포시,전라남도 목포시 수강로12번길 41 5층,목포시가족센터,061-279-2311
316,전남,순천시,전라남도 순천시 기적의도서관길 60,순천시가족센터,061-726-2033
317,전남,여수시,"전라남도 여수시 신월로 648, 1층 (국동, 전남대학교 국동캠퍼스)",여수시가족센터,061-659-4167
318,전남,여수시,"전라남도 여수시 흥국로 17, 2층 (학동)",여수시가족센터,061-659-4167
319,전남,나주시,전라남도 나주시 남평읍 지석로 167,나주시가족센터,061-333-0709
320,전남,나주시,전라남도 나주시 강변1길 21-31 아름드리센터,나주시가족센터,061-331-1709
321,전남,나주시,전라남도 나주시 시청길 17 1층,나주시가족센터,061-339-9825
322,전남,광양시,"전라남도 광양시 동광 2길 9-7, 1층",광양시가족센터,061-797-6840
323,전남,광양시,"전라남도 광양시 가야로345, 103동 반지하",광양시가족센터,061-794-0019
324,전남,광양시,전라남도 광양시 공영로 25 농협4층 문화센터,광양시가족센터,061-793-0048
325,전남,광양시,전라남도 광양시 용강1길 11 창덕에버빌 1단지 관리동 2층,광양시가족센터,061-762-1129
326,전남,광양시,전라남도 광양시 진등길 55-5 송보파일빌 5차아파트 관리동 2층,광양시가족센터,061-792-1178
327,전남,광양시,전라남도 광양시 광양읍 서평1길 9 덕진광양의봄아파트 관리동 2층,광양시가족센터,061-762-1130
328,전남,광양시,전라남도 광양시 진등6길 51 송보파인빌 6차 관리동 2층,광양시가족센터,061-793-1180
329,전남,광양시,전라남도 광양시 광양읍 와룡길 43(광양오네뜨아파트) 관리동 2층,광양시가족센터,061-762-1131
330,전남,광양시,전라남도 광양시 초원길 42(금호도서관),광양시가족센터,061-793-1181
331,전남,광양시,전라남도 광양시 눈소4길 37(광양스위트엠르네상스아파트) 101동 1층,광양시가족센터,061-793-1121
332,전남,무안군,전라남도 무안군 무안읍 면성1길 130 1층,무안군가족센터,061-450-5517
333,전남,담양군,전라남도 담양군 담양읍 객사1길3 3층,담양군가족센터,061-383-9786
334,전남,고흥군,전라남도 고흥군 고흥읍 신계학림길 39,고흥군가족센터,061-830-6879
335,전남,고흥군,전라남도 고흥군 도양읍 녹동1길 21-6 1층,고흥군가족센터,061-830-6881
336,전남,보성군,전라남도 보성군 보성읍 송재로 186-5,보성군가족센터,061-850-5313
337,전남,화순군,전라남도 화순군 화순읍 대교로 11 희망센터 2층,화순군가족센터,061-375-1057
338,전남,장흥군,전라남도 장흥군 장흥읍 동교1길 13,장흥군가족센터,061-864-4813
339,전남,강진군,전라남도 강진군 강진읍 동성로 16-5번지 강진커뮤니티센터,강진군육아지원센터,061-434-0003
340,전남,영광군,전라남도 영광군 영광읍 중앙로3길 6-11(여성문화센터 2층),영광군가족센터,061-350-5546
341,전남,영광군,전라남도 영광군 홍농읍 동부로 13 4층,영광군,061-350-5546
342,전남,해남군,전라남도 해남군 해남읍 영빈로 81-17 1층,해남군가족센터,061-530-5724
343,전남,해남군,전라남도 해남군 해남읍 서림길 6-20 3층,해남군가족센터,061-530-5724
344,전남,신안군,전라남도 신안군 압해읍 압해로 876-22 1층,신안군,061-240-8705
345,전남,진도군,전라남도 진도군 진도대로 7215 1층,진도군가족센터,061-544-9993
346,전남,장성군,전라남도 장성군 장성읍 역전로 199-10 1층,장성군가족센터,061-390-7411
347,전남,구례군,전라남도 구례군 구례읍 구례로 506 1층,구례군가족센터,061-781-8005
348,경북,경산시,"경상북도 경산시 경산로 159-5, 2층",경산시가족센터,053-819-5502
349,경북,경산시,"경상북도 경산시 하양읍 서사도리로 71, 1층",경산시가족센터,053-813-4078
350,경북,경주시,경상북도 경주시 북성로87 2층,경주시,054-779-8956
351,경북,경주시,경상북도 경주시 안강읍 비화원로 47 2층,경주시,054-779-2921
352,경북,경주시,경상북도 경주시 건천읍 내서로 1106 2층,경주시,054-779-2922
353,경북,경주시,경상북도 경주시 천북면 천북로 383 1층,경주시,054-779-2923
354,경북,경주시,경상북도 경주시 갓뒤동녘길 37 3층 ,경주시,054-779-2924
355,경북,경주시,경상북도 경주시 대안길 45 2층,경주시,054-760-2925
356,경북,경주시,경상북도 경주시 용황로14길 36 1층,경주시,054-779-2903
357,경북,경주시,경상북도 경주시 외동읍 읍청사로 25 1층,경주시,054-779-2495
358,경북,구미시,"경상북도 구미시 산책길 73, 가족행복플라자 1층",구미시가족센터,054-443-0545
359,경북,구미시,"경상북도 구미시 산책길 73, 가족행복플라자 2층",구미시가족센터,054-443-0548
360,경북,구미시,경상북도 구미시 산동면 산호대로41길 13 2층,구미시가족센터,054-471-0544
361,경북,구미시,경상북도 구미시 인동14길14 구미시립인동도서관 1층,구미시가족센터,054-475-0545
362,경북,구미시,경상북도 구미시 봉곡로15길 54 구미시립봉곡도서관 1층,구미시가족센터,054-453-0545
363,경북,김천시,경상북도 김천시 시청로93,김천시가족센터,054-432-8280
364,경북,김천시,경상북도 김천시 혁신4로 21 3층,김천시가족센터,054-432-8280
365,경북,문경시,"경상북도 문경시 흥덕8길 20, 2층",문경시가족센터,054-556-5591
366,경북,상주시,경상북도 상주시 경상대로 2910,상주시가족센터,054-532-1342
367,경북,상주시,경상북도 상주시 성동2길 38-3,상주시가족센터,054-535-1342
368,경북,안동시,경상북도 안동시 번영 1길 55 구시장고객지원센터 2층 ,안동시가족센터,054-843-9897
369,경북,안동시,경상북도 안동시 풍천면 도청대로 455 홍익관 203호,안동시가족센터,070-4218-6464
370,경북,영덕군,경상북도 영덕군 영덕읍 강변길 324 3층,영덕군가족센터,054-730-7376
371,경북,예천군,경상북도 예천군 예천읍 군청길 24 1층,예천군가족센터,054-655-4322
372,경북,예천군,경상북도 예천군 호명면 봉호로 4040,예천군가족센터,054-655-4324
373,경북,울진군,경상북도 울진군 울진읍 울진북로 496-11 울진군평생학습관,울진군가족센터,054-783-8987
374,경북,울진군,경상북도 울진군 죽변면 죽변북로 64-4 북울진도서관 2층,울진군가족센터,054-783-8988
375,경북,의성군,"경상북도 의성군 의성읍 홍술로 146, 2층",의성군가족센터,054-832-5448
376,경북,의성군,경상북도 의성군 비안면 강변길 57-8,의성군가족센터,054-862-7771
377,경북,의성군,경상북도 의성군 다인면 자미로 28-16,의성군가족센터,054-862-5440
378,경북,청도군,경상북도 청도군 화양읍 청려로 1846 여성회관 4층,청도군가족센터,054-373-8136
379,경북,칠곡군,경상북도 칠곡군 왜관읍 관문로1길 24-11 2층,칠곡군가족센터,054-979-6442
380,경북,영양군,경상북도 영양군 영양읍 팔수로 544-1 1층,영양군,054-683-5435
381,경북,성주군,경상북도 성주군 성주읍 경산길 17 성주창의문화센터 B동 2층,성주군가족센터,054-982-9892
382,경북,포항시,경상북도 포항시 북구 장량중앙로 99 양덕4차 삼구트리니엔 4차 커뮤니티센터 1층,포항시가족센터,054-244-9088
383,경북,포항시,경상북도 포항시 남구 오천읍 남원로 83 부영 사랑으로 1단지,포항시가족센터,054-244-9086
384,경북,포항시,경상북도 포항시 남구 희망대로 1297 1층,포항시가족센터,054-727-9706
385,경북,영주시,경상북도 영주시 중앙로 20 1층,영주시가족센터,054-636-5431
386,경남,거제시,경상남도 거제시 옥포로25길 20 2층,거제시가족센터,055-639-4393
387,경남,거제시,경상남도 거제시 용소1길 35 1층,거제시가족센터,055-639-4393
388,경남,거제시,경상남도 거제시 거제중앙로 1641 3층,거제시가족센터,055-639-4393
389,경남,거창군,경상남도 거창군 거창읍 아림로 66 종합사회복지관 1층,거창군,055-940-8851
390,경남,고성군,경상남도 고성군 고성읍 동외로 156번길 36 고성군종합복지관 4층,고성군사회복지협의회,055-674-2208
391,경남,고성군,경상남도 고성군 고성읍 송학로 47-3 고성군공공실버주택 2층,고성군사회복지협의회,055-674-7008
392,경남,김해시,경상남도 김해시 김해대로 2232 4층,김해시가족센터,055-313-6356
393,경남,김해시,경상남도 김해시 율하5로 14(김해율하2지구 A-3BL) 1층,김해시가족센터,055-323-6356
394,경남,김해시,경상남도 김해시 호계로 503 6층 다어울림센터,김해시가족센터,055-326-6356
395,경남,김해시,경상남도 김해시 부곡로 57 2층,김해시가족센터,055-336-6356
396,경남,남해군,"경상남도 남해군 남해읍 화전로 96번길 40, 꿈나눔센터 1층",남해군가족센터,055-860-3829
397,경남,남해군,경상남도 남해군 미조면 미송로 55 미조면 종합사회복지관,남해군가족센터,055-867-8570
398,경남,밀양시,경상남도 밀양시 가곡6길 8 2층,밀양시가족센터,055-351-4412
399,경남,밀양시,경상남도 밀양시 백민로4길 19-1 2층,밀양시가족센터,055-351-4413
400,경남,사천시,경상남도 사천시 용현면 부곡3길 90 여성회관 2층,사천시복지청소년재단,055-835-7769
401,경남,사천시,경상남도 사천시 주공1길 50 주공아파트 1단지 관리사무소 2층,사천시복지청소년재단,055-835-7763
402,경남,사천시,경상남도 사천시 사천읍 무산로 21 2층,사천시복지청소년재단,055-854-1231
403,경남,산청군,경상남도 산청군 웅석봉로86번길 9-19,산청군가족센터,055-972-1068
404,경남,양산시,경상남도 양산시 상북면 삼계동길 27 상하북사회복지관 1층,사회복지법인통도사자비원,055-785-3800
405,경남,양산시,경상남도 양산시 모래들길 57-57 웅상문화체육센터 2층,양산시,055-392-3845
406,경남,의령군,경상남도 의령군 의령읍 의병로8길 16-2 2층,경상남도아동위원협의회,055-574-5123
407,경남,진주시,경상남도 진주시 진양호로 305,진주시,055-749-7409
408,경남,진주시,경상남도 진주시 가호로44번길 4 진주시립남부어린이도서관 1층,진주시,055-749-7409
409,경남,창녕군,경상남도 창녕군 창녕읍 창녕대로 172 사회복지타운 1층,창녕군가족센터,055-532-1304
410,경남,창녕군,경상남도 창녕군 남지읍 복지관길 15 1층 ,창녕군가족센터,055-526-1307
411,경남,창원시,경상남도 창원시 성산구 대정로20번길 11 여성회관 창원관 4층,창원시,055-225-3959
412,경남,창원시,경상남도 창원시 마산합포구 용마로 30 여성회관 마산관 1층,창원시,055-225-4056
413,경남,창원시,경상남도 창원시 마산합포구 3.15대로 121 반월민원센터 2층,창원시마산가족센터,055-716-8745
414,경남,창원시,경상남도 창원시 진해구 충장로 575-3 우성종합상가 2층,꿈자람사회적협동조합,055-547-3470
415,경남,창원시,경상남도 창원시 진해구 충무로 69 충무동중앙민원센터 1층,꿈자람사회적협동조합,055-546-3470
416,경남,창원시,경상남도 창원시 의창구 중동남로 8 2층,창원복지재단,055-256-2526
417,경남,창원시,경상남도 창원시 마산회원구 구암서8길 25 2층,사회적협동조합위드교육문화센터,055-255-9777
418,경남,통영시,경상남도 통영시 안개4길 94 통영시종합사회복지관 3층,통영시가족센터,055-650-4613
419,경남,통영시,경상남도 통영시 광도면 신죽2길 130 2층,통영시가족센터,055-650-4613
420,경남,하동군,경상남도 하동군 하동읍 중앙3길 12-9 하동1970관 1층,하동군,055-880-6527
421,경남,하동군,경상남도 하동군 금성면 신도길 165-24 금성면종합복지회관 3층,하동군,070-8994-5455
422,경남,합천군,경상남도 합천군 합천읍 핫들2로 17 다함께 우리아이 행복센터 내 1층,합천군여성단체협의회,055-932-0654
423,경남,함안군,"경상남도 함안군 가야읍 중앙북길 86, 다옴나눔센터2층",함안군가족센터,055-585-5430
424,경남,함안군,경상남도 함안군 칠원읍 용산1길 28,함안군가족센터,055-586-7536
425,경남,함양군,경상남도 함양군 함양읍 용평리 723-18 2층,함양군,055-960-4832
426,제주,제주시,제주특별자치도 제주시 중앙로 14길 15 2층,제주시가족센터,064-725-9020
427,제주,제주시,제주특별자치도 제주시 화삼로 110 제주 삼화LH3단지 경로당 2층,제주시가족센터,064-725-0525
428,제주,제주시,제주특별자치도 제주시 구좌읍 평대12길 15 1층,동제주종합사회복지관,064-784-8282
429,제주,서귀포시,제주특별자치도 서귀포시 안덕면 서광동로 17 2층,서귀포시,064-792-7637
430,제주,서귀포시,제주특별자치도 서귀포시 서호남로 12 1층,서귀포시가족센터,064-732-6486
